================ Training Loss (Mon Apr 11 16:27:16 2022) ================
(epoch: 26, iters: 800, time: 0.038, data: 0.495) D_A: 0.239 G_A: 0.482 cycle_A: 0.571 idt_A: 0.377 D_B: 0.183 G_B: 0.330 cycle_B: 0.861 idt_B: 0.262 
(epoch: 27, iters: 672, time: 0.037, data: 0.007) D_A: 0.164 G_A: 0.455 cycle_A: 0.574 idt_A: 0.430 D_B: 0.172 G_B: 0.450 cycle_B: 1.008 idt_B: 0.270 
(epoch: 28, iters: 544, time: 0.037, data: 0.008) D_A: 0.191 G_A: 0.418 cycle_A: 0.584 idt_A: 0.384 D_B: 0.189 G_B: 0.323 cycle_B: 0.874 idt_B: 0.249 
(epoch: 29, iters: 416, time: 0.037, data: 0.007) D_A: 0.200 G_A: 0.346 cycle_A: 0.589 idt_A: 0.402 D_B: 0.214 G_B: 0.267 cycle_B: 0.894 idt_B: 0.268 
(epoch: 30, iters: 288, time: 0.038, data: 0.008) D_A: 0.266 G_A: 0.548 cycle_A: 0.600 idt_A: 0.388 D_B: 0.260 G_B: 0.342 cycle_B: 1.124 idt_B: 0.283 
(epoch: 31, iters: 160, time: 0.037, data: 0.007) D_A: 0.251 G_A: 0.495 cycle_A: 0.635 idt_A: 0.455 D_B: 0.224 G_B: 0.511 cycle_B: 0.901 idt_B: 0.278 
(epoch: 32, iters: 32, time: 0.036, data: 0.010) D_A: 0.215 G_A: 0.283 cycle_A: 0.689 idt_A: 0.415 D_B: 0.187 G_B: 0.515 cycle_B: 0.909 idt_B: 0.280 
(epoch: 32, iters: 832, time: 0.030, data: 0.009) D_A: 0.211 G_A: 0.381 cycle_A: 0.630 idt_A: 0.392 D_B: 0.214 G_B: 0.462 cycle_B: 0.981 idt_B: 0.264 
(epoch: 33, iters: 704, time: 0.038, data: 0.008) D_A: 0.227 G_A: 0.452 cycle_A: 0.545 idt_A: 0.431 D_B: 0.213 G_B: 0.396 cycle_B: 0.904 idt_B: 0.232 
(epoch: 34, iters: 576, time: 0.041, data: 0.008) D_A: 0.179 G_A: 0.457 cycle_A: 0.547 idt_A: 0.412 D_B: 0.210 G_B: 0.322 cycle_B: 0.951 idt_B: 0.256 
(epoch: 35, iters: 448, time: 0.039, data: 0.007) D_A: 0.221 G_A: 0.586 cycle_A: 0.585 idt_A: 0.368 D_B: 0.197 G_B: 0.448 cycle_B: 0.806 idt_B: 0.278 
(epoch: 36, iters: 320, time: 0.039, data: 0.007) D_A: 0.320 G_A: 0.696 cycle_A: 0.469 idt_A: 0.413 D_B: 0.226 G_B: 0.427 cycle_B: 0.912 idt_B: 0.225 
(epoch: 37, iters: 192, time: 0.039, data: 0.007) D_A: 0.197 G_A: 0.454 cycle_A: 0.528 idt_A: 0.372 D_B: 0.316 G_B: 0.516 cycle_B: 0.852 idt_B: 0.253 
(epoch: 38, iters: 64, time: 0.039, data: 0.006) D_A: 0.237 G_A: 0.428 cycle_A: 0.578 idt_A: 0.354 D_B: 0.252 G_B: 0.239 cycle_B: 0.868 idt_B: 0.250 
(epoch: 38, iters: 864, time: 0.030, data: 0.006) D_A: 0.203 G_A: 0.311 cycle_A: 0.563 idt_A: 0.313 D_B: 0.224 G_B: 0.373 cycle_B: 0.711 idt_B: 0.276 
(epoch: 39, iters: 736, time: 0.038, data: 0.009) D_A: 0.189 G_A: 0.520 cycle_A: 0.492 idt_A: 0.350 D_B: 0.193 G_B: 0.359 cycle_B: 0.836 idt_B: 0.228 
(epoch: 40, iters: 608, time: 0.039, data: 0.006) D_A: 0.188 G_A: 0.357 cycle_A: 0.544 idt_A: 0.404 D_B: 0.216 G_B: 0.584 cycle_B: 0.829 idt_B: 0.234 
(epoch: 41, iters: 480, time: 0.038, data: 0.007) D_A: 0.285 G_A: 0.400 cycle_A: 0.494 idt_A: 0.318 D_B: 0.215 G_B: 0.651 cycle_B: 0.735 idt_B: 0.227 
(epoch: 42, iters: 352, time: 0.043, data: 0.007) D_A: 0.179 G_A: 0.484 cycle_A: 0.586 idt_A: 0.368 D_B: 0.219 G_B: 0.332 cycle_B: 1.118 idt_B: 0.274 
(epoch: 43, iters: 224, time: 0.039, data: 0.007) D_A: 0.235 G_A: 0.631 cycle_A: 0.501 idt_A: 0.368 D_B: 0.211 G_B: 0.359 cycle_B: 0.843 idt_B: 0.228 
(epoch: 44, iters: 96, time: 0.040, data: 0.006) D_A: 0.179 G_A: 0.442 cycle_A: 0.530 idt_A: 0.358 D_B: 0.269 G_B: 0.774 cycle_B: 0.762 idt_B: 0.214 
(epoch: 44, iters: 896, time: 0.030, data: 0.008) D_A: 0.154 G_A: 0.497 cycle_A: 0.483 idt_A: 0.360 D_B: 0.184 G_B: 0.436 cycle_B: 0.710 idt_B: 0.220 
(epoch: 45, iters: 768, time: 0.040, data: 0.010) D_A: 0.175 G_A: 0.371 cycle_A: 0.500 idt_A: 0.294 D_B: 0.171 G_B: 0.590 cycle_B: 0.673 idt_B: 0.234 
(epoch: 46, iters: 640, time: 0.040, data: 0.007) D_A: 0.236 G_A: 0.616 cycle_A: 0.498 idt_A: 0.320 D_B: 0.198 G_B: 0.302 cycle_B: 0.725 idt_B: 0.222 
(epoch: 47, iters: 512, time: 0.040, data: 0.008) D_A: 0.218 G_A: 0.548 cycle_A: 0.450 idt_A: 0.292 D_B: 0.156 G_B: 0.506 cycle_B: 0.687 idt_B: 0.202 
(epoch: 48, iters: 384, time: 0.040, data: 0.007) D_A: 0.183 G_A: 0.523 cycle_A: 0.475 idt_A: 0.290 D_B: 0.168 G_B: 0.341 cycle_B: 0.675 idt_B: 0.226 
(epoch: 49, iters: 256, time: 0.043, data: 0.007) D_A: 0.151 G_A: 0.469 cycle_A: 0.510 idt_A: 0.272 D_B: 0.270 G_B: 1.010 cycle_B: 0.566 idt_B: 0.215 
(epoch: 50, iters: 128, time: 0.039, data: 0.013) D_A: 0.201 G_A: 0.312 cycle_A: 0.533 idt_A: 0.289 D_B: 0.171 G_B: 0.549 cycle_B: 0.653 idt_B: 0.233 
(epoch: 50, iters: 928, time: 0.013, data: 0.009) D_A: 0.121 G_A: 0.421 cycle_A: 0.507 idt_A: 0.281 D_B: 0.271 G_B: 0.313 cycle_B: 0.775 idt_B: 0.224 
(epoch: 51, iters: 800, time: 0.040, data: 0.477) D_A: 0.227 G_A: 0.358 cycle_A: 0.460 idt_A: 0.294 D_B: 0.244 G_B: 0.288 cycle_B: 0.603 idt_B: 0.191 
(epoch: 52, iters: 672, time: 0.041, data: 0.007) D_A: 0.167 G_A: 0.734 cycle_A: 0.429 idt_A: 0.286 D_B: 0.227 G_B: 0.315 cycle_B: 0.587 idt_B: 0.177 
(epoch: 53, iters: 544, time: 0.041, data: 0.008) D_A: 0.311 G_A: 0.664 cycle_A: 0.405 idt_A: 0.266 D_B: 0.227 G_B: 0.309 cycle_B: 0.582 idt_B: 0.179 
(epoch: 54, iters: 416, time: 0.041, data: 0.007) D_A: 0.182 G_A: 0.274 cycle_A: 0.488 idt_A: 0.260 D_B: 0.203 G_B: 0.340 cycle_B: 0.621 idt_B: 0.220 
(epoch: 55, iters: 288, time: 0.042, data: 0.008) D_A: 0.200 G_A: 0.312 cycle_A: 0.497 idt_A: 0.283 D_B: 0.173 G_B: 0.414 cycle_B: 0.624 idt_B: 0.222 
(epoch: 56, iters: 160, time: 0.040, data: 0.008) D_A: 0.243 G_A: 0.869 cycle_A: 0.479 idt_A: 0.293 D_B: 0.180 G_B: 0.481 cycle_B: 0.602 idt_B: 0.199 
(epoch: 57, iters: 32, time: 0.037, data: 0.007) D_A: 0.217 G_A: 0.550 cycle_A: 0.443 idt_A: 0.285 D_B: 0.213 G_B: 0.264 cycle_B: 0.652 idt_B: 0.199 
(epoch: 57, iters: 832, time: 0.031, data: 0.008) D_A: 0.167 G_A: 0.521 cycle_A: 0.462 idt_A: 0.280 D_B: 0.186 G_B: 0.432 cycle_B: 0.567 idt_B: 0.205 
(epoch: 58, iters: 704, time: 0.041, data: 0.009) D_A: 0.183 G_A: 0.401 cycle_A: 0.501 idt_A: 0.286 D_B: 0.192 G_B: 0.373 cycle_B: 0.665 idt_B: 0.236 
(epoch: 59, iters: 576, time: 0.040, data: 0.008) D_A: 0.214 G_A: 0.701 cycle_A: 0.476 idt_A: 0.252 D_B: 0.171 G_B: 0.541 cycle_B: 0.561 idt_B: 0.212 
(epoch: 60, iters: 448, time: 0.044, data: 0.007) D_A: 0.269 G_A: 0.681 cycle_A: 0.435 idt_A: 0.269 D_B: 0.227 G_B: 0.444 cycle_B: 0.613 idt_B: 0.204 
(epoch: 61, iters: 320, time: 0.041, data: 0.007) D_A: 0.193 G_A: 0.455 cycle_A: 0.482 idt_A: 0.277 D_B: 0.163 G_B: 0.336 cycle_B: 0.623 idt_B: 0.219 
(epoch: 62, iters: 192, time: 0.042, data: 0.007) D_A: 0.185 G_A: 0.576 cycle_A: 0.459 idt_A: 0.270 D_B: 0.186 G_B: 0.600 cycle_B: 0.650 idt_B: 0.211 
(epoch: 63, iters: 64, time: 0.040, data: 0.006) D_A: 0.384 G_A: 0.551 cycle_A: 0.557 idt_A: 0.348 D_B: 0.149 G_B: 0.630 cycle_B: 0.976 idt_B: 0.221 
(epoch: 63, iters: 864, time: 0.030, data: 0.010) D_A: 0.135 G_A: 0.569 cycle_A: 0.518 idt_A: 0.289 D_B: 0.116 G_B: 0.471 cycle_B: 0.731 idt_B: 0.237 
(epoch: 64, iters: 736, time: 0.041, data: 0.011) D_A: 0.153 G_A: 0.572 cycle_A: 0.525 idt_A: 0.282 D_B: 0.158 G_B: 0.298 cycle_B: 0.648 idt_B: 0.246 
(epoch: 65, iters: 608, time: 0.046, data: 0.007) D_A: 0.181 G_A: 0.500 cycle_A: 0.493 idt_A: 0.299 D_B: 0.206 G_B: 0.304 cycle_B: 0.677 idt_B: 0.233 
(epoch: 66, iters: 480, time: 0.041, data: 0.007) D_A: 0.117 G_A: 0.423 cycle_A: 0.491 idt_A: 0.244 D_B: 0.206 G_B: 0.263 cycle_B: 0.705 idt_B: 0.226 
(epoch: 67, iters: 352, time: 0.041, data: 0.007) D_A: 0.153 G_A: 0.489 cycle_A: 0.472 idt_A: 0.279 D_B: 0.141 G_B: 0.471 cycle_B: 0.676 idt_B: 0.215 
(epoch: 68, iters: 224, time: 0.042, data: 0.009) D_A: 0.189 G_A: 0.787 cycle_A: 0.471 idt_A: 0.276 D_B: 0.166 G_B: 0.571 cycle_B: 0.616 idt_B: 0.235 
(epoch: 69, iters: 96, time: 0.042, data: 0.007) D_A: 0.212 G_A: 0.695 cycle_A: 0.434 idt_A: 0.293 D_B: 0.180 G_B: 0.265 cycle_B: 0.673 idt_B: 0.205 
(epoch: 69, iters: 896, time: 0.045, data: 0.008) D_A: 0.214 G_A: 0.303 cycle_A: 0.453 idt_A: 0.265 D_B: 0.201 G_B: 0.455 cycle_B: 0.648 idt_B: 0.214 
(epoch: 70, iters: 768, time: 0.042, data: 0.008) D_A: 0.131 G_A: 0.640 cycle_A: 0.538 idt_A: 0.284 D_B: 0.166 G_B: 0.418 cycle_B: 0.668 idt_B: 0.210 
(epoch: 71, iters: 640, time: 0.041, data: 0.007) D_A: 0.144 G_A: 0.427 cycle_A: 0.441 idt_A: 0.259 D_B: 0.148 G_B: 0.436 cycle_B: 0.621 idt_B: 0.207 
(epoch: 72, iters: 512, time: 0.042, data: 0.007) D_A: 0.099 G_A: 0.623 cycle_A: 0.475 idt_A: 0.260 D_B: 0.171 G_B: 0.482 cycle_B: 0.669 idt_B: 0.215 
(epoch: 73, iters: 384, time: 0.044, data: 0.007) D_A: 0.172 G_A: 0.488 cycle_A: 0.482 idt_A: 0.261 D_B: 0.173 G_B: 0.375 cycle_B: 0.670 idt_B: 0.223 
(epoch: 74, iters: 256, time: 0.043, data: 0.009) D_A: 0.159 G_A: 0.554 cycle_A: 0.442 idt_A: 0.238 D_B: 0.245 G_B: 0.601 cycle_B: 0.596 idt_B: 0.211 
(epoch: 75, iters: 128, time: 0.043, data: 0.009) D_A: 0.235 G_A: 0.423 cycle_A: 0.531 idt_A: 0.296 D_B: 0.197 G_B: 0.514 cycle_B: 0.723 idt_B: 0.215 
(epoch: 75, iters: 928, time: 0.013, data: 0.009) D_A: 0.160 G_A: 0.371 cycle_A: 0.501 idt_A: 0.242 D_B: 0.219 G_B: 0.276 cycle_B: 0.813 idt_B: 0.193 
(epoch: 76, iters: 800, time: 0.042, data: 0.472) D_A: 0.140 G_A: 0.393 cycle_A: 0.425 idt_A: 0.263 D_B: 0.176 G_B: 0.351 cycle_B: 0.694 idt_B: 0.206 
